rec;send;queue;id_1;id_2
1586950542982;1586950542787;19;0;3
1586950543027;1586950542788;19;0;2
1586950543163;1586950542787;18;0;5
1586950543231;1586950542783;19;0;4
1586950556414;1586950556096;19;0;3
1586950556478;1586950556095;19;0;7
1586950556554;1586950556093;19;0;5
1586950556672;1586950556093;19;0;9
1586950556711;1586950556090;19;0;6
1586950556766;1586950556094;19;0;4
1586950556808;1586950556090;18;0;2
1586950556857;1586950556094;19;0;8
1586950558308;1586950556092;19;0;10
1586950568636;1586950568309;19;0;3
1586950568710;1586950568309;19;0;2
1586950568762;1586950568308;19;0;5
1586950568866;1586950568309;19;0;9
1586950568906;1586950568310;19;0;6
1586950568944;1586950568310;19;0;4
1586950568983;1586950568309;19;0;7
1586950569033;1586950568308;19;0;8
1586950570371;1586950568308;19;0;10
1586950570417;1586950568310;19;0;11
1586950582493;1586950582017;19;0;3
1586950582571;1586950582013;19;0;2
1586950582640;1586950582018;19;0;5
1586950582754;1586950582015;19;0;9
1586950582795;1586950582018;19;0;6
1586950582851;1586950582014;19;0;4
1586950582894;1586950582013;19;0;12
1586950582937;1586950582017;18;0;8
1586950582986;1586950582016;19;0;7
1586950584213;1586950582017;19;0;3
1586950584363;1586950582017;19;0;10
1586950584403;1586950582014;19;0;14
1586950584456;1586950582015;18;0;13
1586950588539;1586950582016;19;0;11
1586950596126;1586950595273;18;0;4
1586950596233;1586950595282;18;0;5
1586950597521;1586950595280;18;0;3
1586950597584;1586950595279;18;0;7
1586950597751;1586950595274;17;0;9
1586950597856;1586950595281;18;0;8
1586950597897;1586950595270;18;0;2
1586950599231;1586950595283;18;0;6
1586950599373;1586950595276;18;0;13
1586950600734;1586950595282;17;0;10
1586950601903;1586950595277;18;0;11
1586950604651;1586950595272;17;0;12
1586950605447;1586950595273;18;0;14
1586950606194;1586950595275;18;0;15
1586950607432;1586950595275;18;0;15
1586950608819;1586950608198;18;0;3
1586950608888;1586950608198;18;0;7
1586950608949;1586950608195;19;0;4
1586950609072;1586950608196;18;0;9
1586950609114;1586950608200;17;0;6
1586950609173;1586950608199;18;0;5
1586950609218;1586950608194;17;0;12
1586950609257;1586950608198;19;0;8
1586950609301;1586950608194;18;0;2
1586950610545;1586950608198;18;0;3
1586950610609;1586950608197;19;0;13
1586950610726;1586950608199;19;0;10
1586950610768;1586950608197;19;0;11
1586950612040;1586950608196;19;0;15
1586950613472;1586950608195;18;0;14
1586950622686;1586950622082;18;0;3
1586950622767;1586950622078;19;0;2
1586950622840;1586950622079;19;0;4
1586950622955;1586950622080;18;0;9
1586950623004;1586950622084;18;0;6
1586950623059;1586950622084;18;0;5
1586950623090;1586950622079;19;0;12
1586950623131;1586950622083;18;0;8
1586950623173;1586950622082;19;0;7
1586950624334;1586950622082;18;0;3
1586950624453;1586950622079;19;0;14
1586950624498;1586950622083;19;0;10
1586950624547;1586950622081;19;0;13
1586950625877;1586950622080;19;0;15
1586950627237;1586950622081;18;0;11
1586950636347;1586950635765;18;0;3
1586950636418;1586950635764;19;0;7
1586950636490;1586950635766;19;0;5
1586950636625;1586950635762;19;0;9
1586950636665;1586950635766;15;0;6
1586950636724;1586950635761;19;0;4
1586950636765;1586950635760;18;0;12
1586950636804;1586950635765;19;0;8
1586950636847;1586950635760;18;0;2
1586950638036;1586950635763;19;0;13
1586950638149;1586950635765;19;0;10
1586950638182;1586950635761;19;0;14
1586950639401;1586950635764;18;0;11
1586950640672;1586950635762;19;0;15
1586950649886;1586950649250;19;0;3
1586950649964;1586950649245;19;0;2
1586950650022;1586950649251;19;0;5
1586950650107;1586950649251;12;0;6
1586950650171;1586950649247;19;0;9
1586950650210;1586950649249;19;0;13
1586950650277;1586950649246;19;0;4
1586950650320;1586950649246;19;0;12
1586950650359;1586950649250;19;0;8
1586950651586;1586950649250;18;0;7
1586950651694;1586950649247;19;0;14
1586950651743;1586950649251;19;0;10
1586950651825;1586950649251;19;0;10
1586950653186;1586950649248;19;0;15
1586950654640;1586950649249;18;0;11
1586950664293;1586950662964;18;0;5
1586950664340;1586950662950;18;0;2
1586950665360;1586950662959;18;0;3
1586950665430;1586950662958;17;0;7
1586950665512;1586950662963;18;0;4
1586950665619;1586950662962;18;0;9
1586950665719;1586950662960;18;0;8
1586950665781;1586950662955;18;0;13
1586950667355;1586950662965;16;0;6
1586950668747;1586950662953;18;0;10
1586950672846;1586950662951;17;0;12
1586950676945;1586950662952;18;0;14
1586950678358;1586950677533;19;0;3
1586950678425;1586950677530;17;0;2
1586950678486;1586950677531;19;0;4
1586950678610;1586950677531;19;0;9
1586950678670;1586950677534;19;0;6
1586950678745;1586950677534;18;0;5
1586950678794;1586950677531;15;0;12
1586950678838;1586950677533;19;0;8
1586950678881;1586950677533;19;0;7
1586950680009;1586950677532;19;0;13
1586950680102;1586950677531;19;0;14
1586950681520;1586950677534;19;0;10
1586950681561;1586950677532;18;0;15
1586950682882;1586950677533;19;0;11
1586950685660;1586950662957;18;0;11
1586950687000;1586950662954;18;0;15
1586950692250;1586950691455;19;0;3
1586950692336;1586950691450;17;0;2
1586950692425;1586950691456;19;0;5
1586950692516;1586950691456;16;0;6
1586950692576;1586950691452;19;0;9
1586950692623;1586950691453;19;0;13
1586950692696;1586950691451;19;0;4
1586950692734;1586950691451;19;0;12
1586950692772;1586950691455;19;0;8
1586950692820;1586950691454;19;0;7
1586950694098;1586950691455;19;0;10
1586950695405;1586950691454;19;0;11
1586950696806;1586950691454;19;0;11
1586950698037;1586950691451;18;0;14
1586950699286;1586950691452;19;0;15
1586950705593;1586950704785;18;0;3
1586950705662;1586950704785;18;0;2
1586950705744;1586950704786;19;0;5
1586950705870;1586950704783;19;0;9
1586950705919;1586950704787;15;0;6
1586950706007;1586950704783;18;0;4
1586950706045;1586950704782;19;0;12
1586950706101;1586950704786;19;0;8
1586950706150;1586950704784;19;0;13
1586950707174;1586950704785;19;0;7
1586950707266;1586950704783;19;0;14
1586950707310;1586950704786;18;0;10
1586950708609;1586950704784;19;0;15
1586950710065;1586950704784;19;0;11
1586950711431;1586950704784;19;0;11
1586950718759;1586950717858;18;0;3
1586950718835;1586950717855;19;0;2
1586950718917;1586950717859;19;0;5
1586950719070;1586950717856;18;0;9
1586950719129;1586950717859;14;0;6
1586950719194;1586950717855;19;0;4
1586950719238;1586950717855;19;0;12
1586950719283;1586950717858;18;0;8
1586950719326;1586950717857;19;0;7
1586950720527;1586950717857;18;0;13
1586950720636;1586950717858;19;0;10
1586950720684;1586950717856;18;0;14
1586950723249;1586950717856;19;0;15
1586950724569;1586950717857;18;0;11
1586950732046;1586950730804;18;0;4
1586950732148;1586950730811;18;0;5
1586950733333;1586950730808;18;0;3
1586950733406;1586950730807;17;0;7
1586950733598;1586950730805;17;0;9
1586950733688;1586950730809;18;0;8
1586950733734;1586950730803;17;0;2
1586950733821;1586950730812;18;0;6
1586950735094;1586950730806;18;0;13
1586950736539;1586950730809;18;0;10
1586950736577;1586950730807;18;0;11
1586950740217;1586950730804;17;0;12
1586950742680;1586950730805;18;0;14
1586950743691;1586950730805;18;0;15
1586950744870;1586950744002;19;0;3
1586950744945;1586950744000;15;0;2
1586950745008;1586950744000;18;0;4
1586950745113;1586950744001;18;0;9
1586950745158;1586950744003;18;0;6
1586950745224;1586950744003;18;0;5
1586950745258;1586950744000;18;0;12
1586950745307;1586950744002;19;0;8
1586950745361;1586950744002;19;0;7
1586950746574;1586950744001;19;0;13
1586950746682;1586950744003;19;0;10
1586950746723;1586950744000;18;0;12
1586950747994;1586950744001;18;0;15
1586950749345;1586950744001;19;0;14
1586950750697;1586950744002;19;0;11
1586950757896;1586950756950;19;0;3
1586950757965;1586950756950;19;0;7
1586950758037;1586950756951;19;0;5
1586950758119;1586950756951;19;0;6
1586950758175;1586950756949;19;0;9
1586950758230;1586950756949;19;0;13
1586950758303;1586950756948;19;0;4
1586950758347;1586950756948;18;0;12
1586950758390;1586950756950;19;0;8
1586950758450;1586950756947;15;0;2
1586950759745;1586950756951;19;0;10
1586950759791;1586950756948;19;0;14
1586950761007;1586950756949;19;0;15
1586950764911;1586950756949;19;0;11
1586950770479;1586950769461;19;0;3
1586950770560;1586950769458;19;0;2
1586950770632;1586950769462;19;0;5
1586950770746;1586950769460;19;0;9
1586950770790;1586950769462;13;0;6
1586950770851;1586950769459;19;0;4
1586950770898;1586950769459;19;0;12
1586950770944;1586950769462;19;0;8
1586950770983;1586950769461;19;0;7
1586950772173;1586950769461;18;0;13
1586950772290;1586950769462;18;0;10
1586950772344;1586950769460;19;0;14
1586950773657;1586950769460;19;0;15
1586950774902;1586950769460;19;0;15
1586950776350;1586950769461;19;0;11
1586950783175;1586950782072;18;0;3
1586950783237;1586950782069;19;0;2
1586950783311;1586950782073;19;0;5
1586950783428;1586950782070;19;0;9
1586950783478;1586950782074;15;0;6
1586950783553;1586950782070;19;0;4
1586950783588;1586950782069;18;0;12
1586950783632;1586950782073;19;0;8
1586950783678;1586950782072;19;0;7
1586950784807;1586950782072;18;0;3
1586950784873;1586950782071;19;0;13
1586950784998;1586950782073;19;0;10
1586950785052;1586950782070;18;0;14
1586950785101;1586950782073;19;0;10
1586950786293;1586950782070;18;0;14
1586950787543;1586950782072;18;0;11
1586950788779;1586950782071;19;0;15
1586950796795;1586950795120;18;0;5
1586950797896;1586950795118;17;0;3
1586950797979;1586950795111;17;0;2
1586950798055;1586950795115;18;0;9
1586950798181;1586950795113;17;0;4
1586950798284;1586950795118;18;0;8
1586950798423;1586950795121;18;0;6
1586950799582;1586950795118;18;0;7
1586950799729;1586950795117;18;0;11
1586950799785;1586950795116;18;0;13
1586950801183;1586950795119;18;0;10
1586950803868;1586950795112;18;0;12
1586950804990;1586950795114;18;0;14
1586950806157;1586950795115;18;0;15
1586950808857;1586950808822;18;0;5
1586950810085;1586950808819;19;0;3
1586950810181;1586950808818;19;0;7
1586950810257;1586950808816;19;0;4
1586950810374;1586950808817;18;0;9
1586950810426;1586950808816;19;0;12
1586950810476;1586950808819;18;0;8
1586950810519;1586950808816;13;0;2
1586950810587;1586950808823;19;0;6
1586950811780;1586950808817;19;0;13
1586950811896;1586950808820;18;0;10
1586950811947;1586950808817;18;0;14
1586950813211;1586950808817;19;0;15
1586950814440;1586950808818;19;0;11
1586950821604;1586950821559;19;0;5
1586950821651;1586950821556;17;0;2
1586950821691;1586950821559;19;0;6
1586950822956;1586950821558;19;0;3
1586950823029;1586950821558;19;0;7
1586950823101;1586950821556;19;0;4
1586950823228;1586950821557;19;0;9
1586950823287;1586950821558;19;0;12
1586950823328;1586950821558;19;0;8
1586950823366;1586950821557;19;0;13
1586950824651;1586950821558;19;0;10
1586950824695;1586950821557;19;0;11
1586950825901;1586950821557;19;0;14
1586950827040;1586950821557;19;0;15
1586950834175;1586950834114;19;0;5
1586950834349;1586950834114;19;0;4
1586950834400;1586950834110;17;0;2
1586950834461;1586950834111;19;0;9
1586950834504;1586950834111;18;0;6
1586950834567;1586950834112;19;0;13
1586950835770;1586950834113;19;0;3
1586950835852;1586950834112;19;0;7
1586950835928;1586950834113;19;0;8
1586950836032;1586950834113;19;0;10
1586950836081;1586950834114;19;0;12
1586950837338;1586950834112;19;0;11
1586950838543;1586950834110;19;0;14
1586950841069;1586950834111;19;0;15
1586950846690;1586950846593;19;0;3
1586950846766;1586950846594;19;0;2
1586950846844;1586950846593;19;0;5
1586950846964;1586950846592;19;0;9
1586950847004;1586950846595;18;0;6
1586950847061;1586950846594;19;0;4
1586950847129;1586950846593;19;0;7
1586950847170;1586950846594;19;0;8
1586950847225;1586950846592;19;0;13
1586950848362;1586950846593;19;0;3
1586950848512;1586950846594;19;0;10
1586950848586;1586950846594;19;0;10
