rec;send;queue;id_1;id_2
1586965966055;1586965963643;18;0;4
1586965967486;1586965963644;18;0;6
1586965968298;1586965963641;18;0;5
1586965970213;1586965963638;16;0;2
1586965978215;1586965977558;19;0;5
1586965978617;1586965977558;19;0;4
1586965978687;1586965977557;9;0;2
1586965979968;1586965977559;19;0;6
1586965991905;1586965991287;19;0;5
1586965992251;1586965991288;19;0;4
1586965992311;1586965991286;8;0;2
1586965993409;1586965991288;19;0;6
1586965994657;1586965991288;19;0;4
1586965996092;1586965991288;19;0;4
1586966005086;1586966004352;19;0;5
1586966005540;1586966004353;19;0;4
1586966005589;1586966004350;8;0;2
1586966006706;1586966004353;19;0;6
1586966014327;1586966014306;8;0;2
1586966014727;1586966014307;19;0;5
1586966015102;1586966014307;19;0;4
1586966015266;1586966014307;19;0;6
1586966026605;1586966024837;18;0;6
1586966027621;1586966024837;18;0;4
1586966028809;1586966024839;17;0;10
1586966030246;1586966024840;18;0;9
1586966037312;1586966024838;18;0;8
1586966038763;1586966024835;18;0;5
1586966039443;1586966039236;6;0;2
1586966040197;1586966039236;18;0;5
1586966040601;1586966039237;19;0;4
1586966040867;1586966039239;18;0;7
1586966041632;1586966039239;19;0;10
1586966042932;1586966039238;19;0;8
1586966043528;1586966039238;19;0;6
1586966044178;1586966039235;19;0;9
1586966045420;1586966024836;7;0;2
1586966052067;1586966051048;19;0;4
1586966052357;1586966051047;10;0;7
1586966053130;1586966051047;19;0;10
1586966053710;1586966051047;19;0;11
1586966054511;1586966051048;19;0;8
1586966055972;1586966051047;18;0;5
1586966056626;1586966051046;14;0;2
1586966057433;1586966051047;19;0;9
1586966057868;1586966051048;19;0;6
1586966063761;1586966063716;19;0;4
1586966064002;1586966063715;17;0;2
1586966064193;1586966063714;19;0;6
1586966064971;1586966063710;19;0;5
1586966065342;1586966063713;8;0;7
1586966066198;1586966063711;19;0;10
1586966067429;1586966063711;19;0;10
1586966069248;1586966063711;19;0;11
1586966070159;1586966063712;19;0;8
1586966070726;1586966063711;19;0;11
1586966071547;1586966063712;19;0;9
1586966077389;1586966077277;19;0;4
1586966077461;1586966077276;18;0;2
1586966077727;1586966077277;19;0;6
1586966078376;1586966077279;19;0;5
1586966078723;1586966077276;6;0;7
1586966079324;1586966077278;19;0;10
1586966079762;1586966077275;19;0;11
1586966080551;1586966077278;19;0;8
1586966081919;1586966077278;19;0;9
1586966090257;1586966089954;17;0;2
1586966091376;1586966089953;17;0;4
1586966091564;1586966089952;17;0;6
1586966092289;1586966089952;18;0;10
1586966092814;1586966089954;4;0;7
1586966097272;1586966089950;16;0;9
1586966099368;1586966089952;18;0;8
1586966100311;1586966089950;18;0;5
1586966100662;1586966089951;18;0;11
1586966101834;1586966101526;19;0;4
1586966101877;1586966101527;15;0;2
1586966102003;1586966101527;5;0;7
1586966102782;1586966101527;19;0;5
1586966103191;1586966101526;19;0;6
1586966103400;1586966101525;19;0;11
1586966105575;1586966101526;19;0;10
1586966106815;1586966101526;19;0;8
1586966107727;1586966101525;19;0;9
1586966113462;1586966113170;19;0;4
1586966113536;1586966113171;11;0;2
1586966113708;1586966113171;6;0;7
