rec;send;queue;id_1;id_2;mes_id
1587113976423;1587113975989;19;0;2;1
1587113976448;1587113975989;19;0;3;1
1587113980073;1587113980030;19;0;2;2
1587113980105;1587113980031;19;0;3;2
1587113980152;1587113980030;19;0;4;1
1587113983431;1587113983390;19;0;2;3
1587113983452;1587113983390;19;0;3;3
1587113983477;1587113983390;19;0;3;3
1587113983966;1587113983389;19;0;4;2
1587113984289;1587113983389;19;0;4;2
1587113987508;1587113987090;18;0;2;4
1587113987531;1587113987091;18;0;3;4
1587113987835;1587113987090;18;0;4;3
1587113990512;1587113990438;19;0;2;5
1587113990539;1587113990438;19;0;3;5
1587113991038;1587113990437;18;0;4;4
1587113994449;1587113994350;19;0;2;6
1587113994472;1587113994349;19;0;5;1
1587113994514;1587113994349;19;0;4;5
1587113994861;1587113994349;19;0;3;6
1587113997845;1587113997768;19;0;2;7
1587113997865;1587113997768;19;0;5;2
1587113997892;1587113997768;19;0;4;6
1587113998166;1587113997768;18;0;3;7
1587114000710;1587114000542;18;0;2;8
1587114000739;1587114000540;19;0;5;3
1587114000786;1587114000542;19;0;4;7
1587114001071;1587114000541;19;0;3;8
1587114001142;1587114000542;19;0;4;7
1587114001166;1587114000541;19;0;3;8
1587114004787;1587114004177;18;0;2;9
1587114004805;1587114004176;18;0;3;9
1587114004857;1587114004175;17;0;5;4
1587114005184;1587114004175;17;0;5;4
1587114005206;1587114004179;18;0;4;8
1587114005225;1587114004175;17;0;5;4
1587114005952;1587114004179;18;0;4;8
1587114008242;1587114008071;18;0;2;10
1587114008273;1587114008070;18;0;5;5
1587114008320;1587114008070;18;0;5;5
1587114008339;1587114008070;19;0;3;10
1587114008734;1587114008070;19;0;3;10
1587114008766;1587114008071;19;0;4;9
1587114008787;1587114008071;19;0;4;9
1587114009119;1587114008071;19;0;4;9
1587114012252;1587114012080;19;0;2;11
1587114012308;1587114012079;18;0;5;6
1587114012332;1587114012079;19;0;3;11
1587114012664;1587114012080;19;0;4;10
1587114016071;1587114015874;19;0;2;12
1587114016111;1587114015874;19;0;5;7
1587114016134;1587114015874;19;0;3;12
1587114016510;1587114015875;19;0;4;11
1587114019965;1587114019766;19;0;2;13
1587114019992;1587114019765;19;0;5;8
1587114020028;1587114019766;19;0;4;12
1587114020053;1587114019766;19;0;3;13
1587114023991;1587114023696;18;0;5;9
1587114024371;1587114023698;18;0;2;14
1587114024392;1587114023697;18;0;3;14
1587114024441;1587114023699;18;0;4;13
1587114028001;1587114027736;19;0;2;15
1587114028022;1587114027735;18;0;5;10
1587114028067;1587114027737;19;0;4;14
1587114028479;1587114027736;19;0;3;15
1587114031996;1587114031705;19;0;2;16
1587114032015;1587114031705;19;0;5;11
1587114032059;1587114031705;19;0;4;15
1587114032082;1587114031705;19;0;3;16
1587114035853;1587114035639;19;0;2;17
1587114035889;1587114035639;19;0;5;12
1587114035921;1587114035640;19;0;4;16
1587114035940;1587114035639;19;0;3;17
1587114039726;1587114039445;19;0;2;18
1587114039756;1587114039445;19;0;5;13
1587114039789;1587114039445;19;0;3;18
1587114039814;1587114039445;19;0;3;18
1587114040184;1587114039445;19;0;4;17
1587114043641;1587114043305;18;0;5;14
1587114043947;1587114043307;18;0;2;19
1587114043968;1587114043306;18;0;3;19
1587114044415;1587114043308;18;0;4;18
1587114044450;1587114043308;18;0;4;18
1587114047596;1587114047315;19;0;2;20
1587114047643;1587114047315;19;0;5;15
1587114047661;1587114047315;19;0;3;20
1587114048069;1587114047315;19;0;3;20
1587114048092;1587114047316;19;0;4;19
1587114051492;1587114051184;19;0;2;21
1587114051514;1587114051183;19;0;5;16
1587114051551;1587114051184;19;0;4;20
1587114051574;1587114051184;19;0;4;20
1587114051863;1587114051183;19;0;3;21
1587114055324;1587114054982;19;0;2;22
1587114055357;1587114054981;19;0;3;22
1587114055393;1587114054982;19;0;4;21
1587114055765;1587114054981;18;0;5;17
1587114059181;1587114058817;19;0;2;23
1587114059208;1587114058817;19;0;5;18
1587114059246;1587114058818;19;0;4;22
1587114059277;1587114058817;19;0;3;23
1587114063648;1587114062872;18;0;2;24
1587114063686;1587114062871;18;0;3;24
1587114063714;1587114062870;18;0;5;19
1587114064104;1587114062873;18;0;4;23
1587114067131;1587114066753;19;0;2;25
1587114067166;1587114066752;19;0;5;20
1587114067200;1587114066753;19;0;4;24
1587114067227;1587114066753;19;0;3;25
1587114070784;1587114070764;19;0;5;21
1587114071134;1587114070765;19;0;2;26
1587114071167;1587114070764;19;0;3;26
1587114071599;1587114070765;19;0;4;25
1587114074686;1587114074652;19;0;2;27
1587114074713;1587114074652;19;0;5;22
1587114074749;1587114074653;19;0;4;26
1587114074775;1587114074652;19;0;3;27
1587114078568;1587114078521;19;0;2;28
1587114078591;1587114078520;19;0;5;23
1587114078621;1587114078522;19;0;4;27
1587114078639;1587114078521;19;0;3;28
1587114082617;1587114082491;18;0;5;24
1587114083025;1587114082493;18;0;2;29
1587114083054;1587114082492;18;0;3;29
1587114083482;1587114082494;18;0;4;28
1587114083917;1587114082494;18;0;4;28
1587114086582;1587114086520;19;0;2;30
1587114086604;1587114086520;19;0;5;25
1587114086648;1587114086521;19;0;4;29
1587114087000;1587114086520;19;0;3;30
1587114090512;1587114090414;19;0;2;31
1587114090537;1587114090413;19;0;5;26
1587114090567;1587114090413;19;0;5;26
1587114090591;1587114090412;19;0;3;31
1587114090983;1587114090413;19;0;4;30
1587114091014;1587114090413;19;0;4;30
1587114094498;1587114094371;19;0;2;32
1587114094526;1587114094372;18;0;5;27
1587114094569;1587114094371;19;0;4;31
1587114094594;1587114094372;19;0;3;32
1587114098526;1587114098389;19;0;2;33
1587114098545;1587114098390;19;0;5;28
1587114098586;1587114098389;19;0;4;32
1587114098611;1587114098390;19;0;3;33
1587114102667;1587114102404;18;0;5;29
1587114102984;1587114102402;18;0;2;34
1587114103001;1587114102403;17;0;3;34
1587114103375;1587114102403;17;0;3;34
1587114103408;1587114102401;18;0;4;33
1587114106108;1587114106016;19;0;2;35
1587114106128;1587114106016;19;0;5;30
1587114106165;1587114106015;18;0;4;34
1587114106190;1587114106016;19;0;3;35
1587114109666;1587114109497;19;0;2;36
1587114109692;1587114109497;19;0;3;36
1587114109733;1587114109497;19;0;4;35
1587114109755;1587114109497;18;0;5;31
1587114113531;1587114113342;19;0;2;37
1587114113561;1587114113343;19;0;5;32
1587114113593;1587114113342;19;0;4;36
1587114114372;1587114113342;19;0;4;36
1587114114390;1587114113342;19;0;3;37
1587114117153;1587114116919;19;0;2;38
1587114117169;1587114116920;19;0;5;33
1587114117202;1587114116918;19;0;4;37
1587114117223;1587114116919;19;0;3;38
1587114117583;1587114116919;19;0;3;38
1587114120990;1587114120731;18;0;5;34
1587114121364;1587114120728;18;0;2;39
1587114121393;1587114120729;18;0;3;39
1587114121428;1587114120729;18;0;3;39
1587114122265;1587114120727;18;0;4;38
1587114124959;1587114124755;19;0;2;40
1587114125007;1587114124756;19;0;3;40
1587114125032;1587114124756;19;0;3;40
1587114125436;1587114124756;18;0;5;35
1587114125460;1587114124755;19;0;4;39
1587114128896;1587114128646;19;0;2;41
1587114128915;1587114128646;19;0;3;41
1587114128948;1587114128646;19;0;4;40
1587114128965;1587114128646;17;0;5;36
1587114129369;1587114128646;19;0;4;40
1587114132790;1587114132548;19;0;2;42
1587114132836;1587114132549;19;0;5;37
1587114132858;1587114132548;19;0;3;42
1587114133241;1587114132548;19;0;4;41
1587114133258;1587114132548;19;0;4;41
1587114136322;1587114136058;19;0;2;43
1587114136345;1587114136059;17;0;5;38
1587114136387;1587114136058;19;0;4;42
1587114136414;1587114136059;19;0;3;43
1587114140869;1587114140090;18;0;2;44
1587114140892;1587114140091;18;0;3;44
1587114140927;1587114140089;18;0;4;43
1587114140951;1587114140092;18;0;5;39
1587114143866;1587114143583;19;0;2;45
1587114143884;1587114143583;16;0;5;40
1587114143909;1587114143583;19;0;3;45
1587114144306;1587114143582;19;0;4;44
1587114147849;1587114147516;19;0;2;46
1587114147871;1587114147516;18;0;5;41
1587114147923;1587114147517;19;0;4;45
1587114148351;1587114147516;19;0;3;46
1587114151771;1587114151448;19;0;2;47
1587114151814;1587114151448;19;0;3;47
1587114152219;1587114151448;19;0;3;47
1587114152642;1587114151448;18;0;5;42
1587114152671;1587114151447;19;0;4;46
1587114153073;1587114151447;19;0;4;46
1587114155721;1587114155349;19;0;2;48
1587114155736;1587114155350;19;0;5;43
1587114155764;1587114155349;19;0;3;48
1587114156155;1587114155349;19;0;4;47
1587114159706;1587114159294;18;0;5;44
1587114160092;1587114159292;18;0;2;49
1587114160111;1587114159293;18;0;3;49
1587114160163;1587114159293;18;0;3;49
1587114160509;1587114159291;18;0;4;48
1587114163614;1587114163274;19;0;2;50
1587114163634;1587114163275;18;0;5;45
1587114163667;1587114163273;19;0;4;49
1587114163694;1587114163274;19;0;3;50
1587114164071;1587114163274;19;0;3;50
1587114167549;1587114167146;19;0;2;51
1587114167569;1587114167147;17;0;5;46
1587114167604;1587114167145;19;0;4;50
1587114167625;1587114167146;19;0;3;51
1587114171063;1587114171000;16;0;5;47
1587114171438;1587114170999;19;0;2;52
1587114171459;1587114170999;19;0;3;52
1587114171494;1587114170999;19;0;4;51
1587114174884;1587114174849;19;0;2;53
1587114174904;1587114174850;19;0;5;48
1587114174933;1587114174850;19;0;3;53
1587114175735;1587114174849;19;0;4;52
1587114178947;1587114178824;18;0;5;49
1587114179343;1587114178822;18;0;2;54
1587114179379;1587114178823;18;0;3;54
1587114179399;1587114178823;18;0;3;54
1587114179828;1587114178822;18;0;4;53
1587114180172;1587114178822;18;0;4;53
1587114183056;1587114182997;19;0;2;55
1587114183076;1587114182998;17;0;5;50
1587114183508;1587114182997;19;0;4;54
1587114183529;1587114182998;19;0;3;55
1587114186864;1587114186776;19;0;2;56
1587114186890;1587114186777;19;0;5;51
1587114186934;1587114186777;19;0;4;55
1587114186963;1587114186778;19;0;3;56
1587114190874;1587114190769;19;0;2;57
1587114190901;1587114190767;18;0;5;52
1587114190942;1587114190768;19;0;3;57
1587114191385;1587114190768;19;0;4;56
1587114194818;1587114194679;18;0;2;58
1587114194849;1587114194677;19;0;5;53
1587114194902;1587114194679;18;0;4;57
1587114194925;1587114194679;18;0;4;57
1587114195294;1587114194678;18;0;3;58
1587114195326;1587114194679;18;0;4;57
1587114195750;1587114194679;18;0;4;57
1587114198954;1587114198725;18;0;5;54
1587114199333;1587114198726;18;0;2;59
1587114199357;1587114198725;17;0;3;59
1587114199392;1587114198728;18;0;4;58
1587114202812;1587114202621;18;0;2;60
1587114202881;1587114202620;18;0;5;55
