rec;send;queue;id_1;id_2
1586864992873;1586864992679;19;0;3
1586864992891;1586864992678;19;0;4
1586864995474;1586864995232;19;0;3
1586864995493;1586864995231;19;0;4
1586864995800;1586864995231;19;0;4
1586864998033;1586864997786;19;0;3
1586864998054;1586864997785;19;0;4
1586865000261;1586865000061;18;0;3
1586865000463;1586865000060;18;0;4
1586865002949;1586865002660;19;0;3
1586865002987;1586865002659;19;0;4
1586865005525;1586865005307;19;0;3
1586865005547;1586865005306;19;0;4
1586865007801;1586865007558;18;0;3
1586865008002;1586865007557;19;0;4
1586865010510;1586865010262;19;0;3
1586865010518;1586865010261;18;0;4
1586865012825;1586865012486;18;0;3
1586865013084;1586865012486;18;0;4
1586865014827;1586865014529;18;0;4
1586865014851;1586865014530;18;0;3
1586865016750;1586865016733;19;0;3
1586865017102;1586865016733;19;0;4
1586865019575;1586865019557;19;0;3
1586865019589;1586865019557;19;0;4
1586865021448;1586865021431;19;0;2
1586865021458;1586865021431;19;0;3
1586865021469;1586865021431;19;0;4
1586865023616;1586865023545;18;0;3
1586865023794;1586865023544;18;0;2
1586865023808;1586865023544;18;0;4
1586865025885;1586865025803;19;0;2
1586865025904;1586865025803;19;0;3
1586865025924;1586865025803;19;0;4
1586865028544;1586865028484;19;0;2
1586865028564;1586865028484;19;0;3
1586865028587;1586865028485;19;0;4
1586865031320;1586865031231;19;0;2
1586865031337;1586865031231;19;0;3
1586865031357;1586865031232;19;0;4
1586865034521;1586865034388;19;0;2
1586865034539;1586865034388;19;0;3
1586865034562;1586865034388;18;0;4
1586865037650;1586865037217;18;0;2
1586865037670;1586865037218;18;0;4
1586865037689;1586865037216;17;0;3
1586865040147;1586865040007;18;0;2
1586865040164;1586865040006;19;0;3
1586865040182;1586865040007;18;0;4
1586865042982;1586865042869;19;0;2
1586865043001;1586865042867;19;0;3
1586865043031;1586865042869;19;0;4
1586865045718;1586865045538;19;0;2
1586865045738;1586865045537;19;0;3
1586865045760;1586865045538;19;0;4
1586865048811;1586865048628;18;0;2
1586865048830;1586865048628;19;0;3
1586865048847;1586865048629;19;0;4
1586865052018;1586865051761;18;0;3
1586865052370;1586865051762;18;0;2
1586865052391;1586865051763;17;0;4
1586865055144;1586865054992;19;0;2
1586865055163;1586865054992;19;0;3
1586865055179;1586865054992;19;0;4
1586865058307;1586865058081;19;0;2
1586865058325;1586865058080;19;0;3
1586865058343;1586865058081;19;0;4
1586865061546;1586865061332;19;0;2
1586865061564;1586865061331;19;0;3
1586865061583;1586865061332;19;0;4
1586865064658;1586865064423;19;0;2
1586865064674;1586865064422;19;0;3
1586865064696;1586865064423;19;0;4
1586865067841;1586865067534;18;0;3
1586865068142;1586865067535;17;0;2
1586865068160;1586865067535;18;0;4
1586865070986;1586865070682;19;0;2
1586865071003;1586865070683;19;0;4
1586865071021;1586865070682;18;0;3
1586865074111;1586865073817;17;0;2
1586865074137;1586865073818;18;0;4
1586865074166;1586865073817;17;0;3
1586865077262;1586865076955;18;0;2
1586865077273;1586865076956;18;0;4
1586865077295;1586865076954;18;0;3
1586865080338;1586865080046;19;0;2
1586865080358;1586865080046;19;0;3
1586865080381;1586865080047;18;0;4
1586865083505;1586865083186;18;0;3
1586865083868;1586865083186;18;0;2
1586865083889;1586865083187;18;0;4
1586865086653;1586865086349;18;0;2
1586865086670;1586865086349;19;0;3
1586865086689;1586865086350;19;0;4
1586865089556;1586865089545;19;0;3
1586865089899;1586865089545;19;0;2
1586865089920;1586865089545;19;0;4
1586865092602;1586865092573;19;0;2
1586865092622;1586865092573;19;0;3
1586865092641;1586865092574;19;0;4
1586865095728;1586865095695;19;0;2
1586865095748;1586865095695;19;0;3
1586865095769;1586865095695;19;0;4
1586865098884;1586865098786;18;0;3
1586865099176;1586865098787;18;0;2
1586865099198;1586865098788;18;0;4
1586865101885;1586865101835;19;0;2
1586865101905;1586865101834;19;0;3
1586865101929;1586865101835;19;0;4
1586865105045;1586865104962;19;0;2
1586865105065;1586865104962;19;0;3
1586865105085;1586865104962;19;0;4
1586865108266;1586865108158;19;0;2
1586865108292;1586865108159;19;0;3
1586865108312;1586865108158;19;0;4
1586865111404;1586865111293;19;0;2
1586865111432;1586865111294;19;0;3
1586865111448;1586865111292;19;0;4
1586865114512;1586865114322;18;0;3
1586865114816;1586865114321;18;0;2
1586865114834;1586865114320;18;0;4
1586865117580;1586865117438;19;0;2
1586865117593;1586865117438;19;0;3
1586865117611;1586865117437;19;0;4
1586865120715;1586865120553;19;0;2
1586865120734;1586865120553;19;0;3
1586865120756;1586865120552;19;0;4
1586865123831;1586865123652;19;0;2
1586865123857;1586865123652;19;0;3
1586865123873;1586865123651;19;0;4
1586865127009;1586865126828;19;0;2
1586865127038;1586865126829;19;0;3
1586865127065;1586865126828;19;0;4
1586865130508;1586865129954;18;0;2
1586865130524;1586865129953;18;0;4
1586865130544;1586865129956;17;0;3
1586865133373;1586865133135;18;0;2
1586865133396;1586865133135;19;0;4
1586865133415;1586865133135;18;0;3
1586865136434;1586865136209;19;0;2
1586865136451;1586865136209;19;0;3
1586865136474;1586865136208;19;0;4
1586865139467;1586865139277;19;0;2
1586865139488;1586865139278;19;0;3
1586865139505;1586865139277;19;0;4
1586865142627;1586865142366;18;0;2
1586865142647;1586865142366;19;0;3
1586865142666;1586865142365;19;0;4
1586865145519;1586865145269;18;0;3
1586865145858;1586865145268;18;0;2
1586865145881;1586865145268;18;0;4
1586865148658;1586865148403;19;0;2
1586865148675;1586865148403;19;0;3
1586865148696;1586865148402;19;0;4
1586865151836;1586865151543;19;0;2
1586865151856;1586865151543;19;0;3
1586865151874;1586865151542;19;0;4
1586865154941;1586865154663;19;0;2
1586865154959;1586865154663;19;0;3
1586865154978;1586865154662;19;0;4
1586865158090;1586865157776;19;0;2
1586865158115;1586865157777;19;0;3
1586865158434;1586865157776;18;0;4
1586865161566;1586865160885;18;0;2
1586865161582;1586865160885;18;0;4
1586865161598;1586865160886;17;0;3
1586865164312;1586865163986;18;0;2
1586865164336;1586865163987;19;0;3
1586865164354;1586865163986;19;0;4
1586865167336;1586865167017;19;0;2
1586865167358;1586865167018;19;0;3
1586865167378;1586865167017;19;0;4
1586865170101;1586865170085;19;0;2
1586865170121;1586865170085;19;0;3
1586865170145;1586865170085;19;0;4
1586865173280;1586865173236;19;0;2
1586865173302;1586865173237;19;0;3
1586865173327;1586865173236;19;0;4
1586865176451;1586865176355;18;0;3
1586865176790;1586865176353;17;0;4
1586865177126;1586865176353;17;0;2
1586865179422;1586865179374;19;0;2
1586865179447;1586865179375;19;0;3
1586865179472;1586865179374;19;0;4
1586865182650;1586865182559;19;0;2
1586865182702;1586865182560;18;0;3
1586865183017;1586865182559;19;0;4
1586865185869;1586865185760;19;0;2
1586865185895;1586865185759;19;0;3
1586865185916;1586865185760;19;0;4
1586865189014;1586865188949;18;0;2
1586865189034;1586865188949;19;0;4
1586865189048;1586865188949;18;0;3
1586865192174;1586865192031;18;0;3
1586865192538;1586865192031;18;0;2
1586865192566;1586865192032;18;0;4
1586865195214;1586865195092;19;0;2
1586865195231;1586865195092;19;0;3
1586865195253;1586865195093;19;0;4
1586865198488;1586865198340;18;0;2
1586865198512;1586865198340;19;0;3
1586865198536;1586865198340;19;0;4
1586865201420;1586865201278;19;0;2
1586865201445;1586865201278;19;0;3
1586865201466;1586865201278;19;0;4
1586865204528;1586865204390;19;0;2
1586865204547;1586865204390;19;0;3
1586865204563;1586865204391;19;0;4
1586865206306;1586865206174;18;0;3
1586865206477;1586865206174;18;0;2
1586865206499;1586865206175;18;0;4
1586865208985;1586865208796;19;0;2
1586865209004;1586865208795;19;0;3
1586865209030;1586865208796;19;0;4
1586865212114;1586865211899;19;0;2
1586865212135;1586865211898;19;0;3
1586865212160;1586865211899;19;0;4
1586865215222;1586865215017;19;0;2
1586865215243;1586865215017;19;0;4
1586865215262;1586865215016;18;0;3
1586865218336;1586865218121;19;0;2
1586865218357;1586865218120;19;0;3
1586865218381;1586865218121;18;0;4
1586865221604;1586865221273;18;0;3
1586865221916;1586865221274;18;0;2
1586865221935;1586865221275;18;0;4
1586865224640;1586865224358;19;0;2
1586865224662;1586865224358;19;0;3
1586865224682;1586865224359;19;0;4
1586865227759;1586865227509;19;0;2
1586865227786;1586865227509;19;0;3
1586865227806;1586865227510;18;0;4
1586865230868;1586865230611;18;0;2
1586865230894;1586865230610;19;0;3
1586865230913;1586865230612;19;0;4
1586865234002;1586865233717;19;0;2
1586865234031;1586865233716;19;0;3
1586865234051;1586865233717;19;0;4
1586865237211;1586865236832;18;0;3
1586865237484;1586865236833;18;0;2
1586865237498;1586865236834;18;0;4
1586865239978;1586865239704;19;0;2
1586865240000;1586865239703;19;0;3
1586865240015;1586865239704;19;0;4
1586865243129;1586865242831;19;0;2
1586865243153;1586865242831;19;0;3
1586865243179;1586865242832;19;0;4
1586865245581;1586865245566;19;0;2
1586865245599;1586865245565;19;0;3
1586865245615;1586865245566;19;0;4
1586865248671;1586865248642;19;0;2
1586865248690;1586865248641;19;0;3
1586865248713;1586865248642;19;0;4
1586865251630;1586865251561;18;0;3
1586865252011;1586865251561;18;0;2
1586865252039;1586865251562;18;0;4
1586865254792;1586865254745;19;0;2
1586865254811;1586865254744;19;0;3
1586865254839;1586865254745;19;0;4
1586865257869;1586865257818;19;0;2
1586865257893;1586865257817;19;0;3
1586865257915;1586865257817;19;0;4
1586865260222;1586865260130;18;0;2
1586865260242;1586865260131;19;0;3
1586865260262;1586865260130;17;0;4
1586865263324;1586865263215;19;0;2
1586865263346;1586865263216;19;0;3
1586865263376;1586865263215;19;0;4
