rec;send;queue;id_1;id_2;my_id
1587121134032;1587121133722;3;0;2;118
1587121134233;1587121134046;14;0;5;97
1587121134369;1587121134046;3;0;4;96
1587121134460;1587121134045;3;0;2;119
1587121134587;1587121134466;14;0;5;98
1587121134635;1587121134466;3;0;4;97
1587121134689;1587121134467;3;0;2;120
1587121134802;1587121134677;14;0;5;99
1587121134847;1587121134677;3;0;4;98
1587121135087;1587121134882;14;0;5;100
1587121135220;1587121134882;3;0;4;99
1587121135344;1587121100711;3;0;2;33
1587121135558;1587121135312;14;0;5;101
1587121135668;1587121135312;3;0;4;100
1587121135745;1587121087705;17;0;3;1
1587121136001;1587121135720;14;0;5;102
1587121136129;1587121131886;3;0;4;91
1587121136217;1587121136179;3;0;2;122
1587121136442;1587121136179;14;0;5;103
1587121136577;1587121136180;3;0;4;102
1587121136685;1587121136645;3;0;2;123
1587121136876;1587121136645;14;0;5;104
1587121136949;1587121136644;3;0;4;103
1587121136993;1587121136978;3;0;2;124
1587121137161;1587121136978;14;0;5;105
1587121137209;1587121136978;3;0;4;104
1587121137254;1587121137236;3;0;2;125
1587121137446;1587121137236;14;0;5;106
1587121137558;1587121136978;3;0;4;104
1587121137654;1587121137632;3;0;2;126
1587121137803;1587121137633;14;0;5;107
1587121137915;1587121137633;3;0;4;105
1587121138023;1587121135720;3;0;2;121
1587121138273;1587121137971;14;0;5;108
1587121138382;1587121137971;2;0;4;106
1587121138852;1587121138435;3;0;4;107
1587121138940;1587121138896;3;0;2;128
1587121139202;1587121138896;13;0;5;110
1587121139325;1587121138896;3;0;4;108
1587121139427;1587121139379;3;0;2;129
1587121139664;1587121139380;13;0;5;111
1587121139792;1587121139380;3;0;4;109
1587121139913;1587121139845;3;0;2;130
1587121140116;1587121139844;13;0;5;112
1587121140265;1587121139843;3;0;4;110
1587121140367;1587121140306;3;0;2;131
1587121140580;1587121140306;13;0;5;113
1587121140649;1587121140306;3;0;4;111
1587121140754;1587121140698;3;0;2;132
1587121140920;1587121140698;13;0;5;114
1587121140992;1587121140697;3;0;4;112
1587121141058;1587121141016;3;0;2;133
1587121141202;1587121141016;13;0;5;115
1587121141251;1587121140697;3;0;4;112
1587121141314;1587121141276;3;0;2;134
1587121141445;1587121141276;13;0;5;116
1587121141604;1587121141276;3;0;4;113
1587121141698;1587121141622;3;0;2;135
1587121141884;1587121141622;13;0;5;117
1587121141996;1587121141622;3;0;4;114
1587121142098;1587121142012;3;0;2;136
1587121142340;1587121142012;12;0;5;118
1587121142485;1587121142012;3;0;4;115
1587121142577;1587121142505;3;0;2;137
1587121142830;1587121142505;12;0;5;119
1587121142982;1587121142506;3;0;4;116
1587121143083;1587121143001;3;0;2;138
1587121143313;1587121143000;12;0;5;120
1587121143432;1587121142999;3;0;4;117
1587121143545;1587121143446;3;0;2;139
1587121143757;1587121143446;12;0;5;121
1587121143864;1587121143447;3;0;4;118
1587121143991;1587121143878;3;0;2;140
1587121144187;1587121143877;12;0;5;122
1587121144277;1587121143877;3;0;4;119
1587121144366;1587121144280;3;0;2;141
1587121144633;1587121144280;12;0;5;123
1587121144751;1587121144281;3;0;4;120
1587121144872;1587121144734;3;0;2;142
1587121145089;1587121144734;12;0;5;124
1587121145199;1587121145181;3;0;4;121
