rec;send;queue;id_1;id_2;packet_id
1588868068670;1588868068345;19;0;2;1
1588868069301;1588868068937;19;0;2;2
1588868069907;1588868069539;19;0;2;3
1588868070498;1588868069539;19;0;3;1
1588868070581;1588868070184;19;0;2;4
1588868071151;1588868070183;19;0;3;2
1588868071215;1588868070849;18;0;2;5
1588868071771;1588868070849;19;0;4;1
1588868071856;1588868071491;18;0;2;6
1588868072218;1588868072096;19;0;5;1
1588868072437;1588868071491;19;0;4;2
1588868072514;1588868072096;18;0;2;7
1588868072861;1588868072751;19;0;5;2
1588868073119;1588868072096;19;0;4;3
1588868073200;1588868072752;18;0;2;8
1588868073583;1588868073440;19;0;5;3
1588868073816;1588868072752;19;0;4;4
1588868073895;1588868073440;18;0;2;9
1588868074238;1588868074128;19;0;5;4
1588868074457;1588868073440;19;0;4;5
1588868074542;1588868074128;18;0;2;10
1588868074900;1588868074777;19;0;5;5
1588868075157;1588868074128;19;0;4;6
1588868075229;1588868074776;18;0;2;11
1588868075613;1588868075443;19;0;5;6
1588868075833;1588868074776;19;0;4;7
1588868075922;1588868075444;18;0;2;12
1588868075971;1588868075443;19;0;7;1
1588868076321;1588868076154;19;0;5;7
1588868076545;1588868075444;19;0;4;8
1588868076634;1588868076154;18;0;2;13
1588868076685;1588868076155;19;0;7;2
1588868077035;1588868076866;19;0;5;8
1588868077262;1588868076154;19;0;4;9
1588868077348;1588868076866;18;0;2;14
1588868077734;1588868077559;18;0;5;9
1588868077953;1588868077558;4;0;6;8
1588868078039;1588868077558;18;0;2;15
1588868078101;1588868076865;19;0;7;3
1588868078440;1588868078276;17;0;5;10
1588868078711;1588868078276;5;0;6;9
1588868078803;1588868078276;18;0;2;16
1588868078863;1588868078276;18;0;7;5
1588868079211;1588868079021;16;0;5;11
1588868079439;1588868078276;19;0;4;12
1588868079522;1588868079020;18;0;2;17
1588868079584;1588868079021;18;0;7;6
1588868079970;1588868079771;14;0;5;12
1588868080231;1588868079772;4;0;6;11
1588868080321;1588868079771;18;0;2;18
1588868080386;1588868079771;18;0;7;7
1588868080741;1588868080535;12;0;5;13
1588868080970;1588868080534;4;0;6;12
1588868081052;1588868080534;18;0;2;19
1588868081097;1588868080535;18;0;7;8
1588868081439;1588868081223;10;0;5;14
1588868081674;1588868081224;4;0;6;13
1588868081763;1588868081224;18;0;2;20
1588868081816;1588868081223;18;0;7;9
1588868082164;1588868081944;8;0;5;15
1588868082354;1588868081944;4;0;6;14
1588868082438;1588868081943;18;0;2;21
1588868082481;1588868081943;18;0;7;10
1588868082834;1588868082601;6;0;5;16
1588868083034;1588868082601;4;0;6;15
1588868083119;1588868082602;18;0;2;22
1588868083169;1588868082601;18;0;7;11
1588868083566;1588868083291;5;0;5;17
1588868083808;1588868083292;4;0;6;16
1588868083901;1588868083291;18;0;2;23
1588868083965;1588868083291;18;0;7;12
1588868084316;1588868084058;5;0;5;18
1588868084546;1588868084057;4;0;6;17
1588868084633;1588868084058;18;0;2;24
1588868084696;1588868084058;18;0;7;13
1588868085070;1588868084784;5;0;5;19
1588868085321;1588868084785;4;0;6;18
1588868085410;1588868084784;18;0;2;25
1588868085471;1588868084784;18;0;7;14
1588868085836;1588868085564;5;0;5;20
1588868086055;1588868085564;4;0;6;19
1588868086136;1588868085563;18;0;2;26
1588868086191;1588868085563;18;0;7;15
1588868086527;1588868086292;5;0;5;21
1588868086754;1588868086293;4;0;6;20
1588868086846;1588868086293;18;0;2;27
1588868086908;1588868086292;18;0;7;16
1588868087254;1588868086983;5;0;5;22
1588868087489;1588868086983;4;0;6;21
1588868087578;1588868086983;17;0;2;28
1588868087632;1588868086982;18;0;7;17
1588868087995;1588868087695;5;0;5;23
1588868088209;1588868087695;4;0;6;22
1588868088308;1588868087696;17;0;2;29
1588868088365;1588868087695;18;0;7;18
1588868088728;1588868088430;5;0;5;24
1588868088965;1588868088430;4;0;6;23
1588868089054;1588868088431;17;0;2;30
1588868089110;1588868088430;18;0;7;19
1588868089715;1588868089141;4;0;6;24
1588868089802;1588868089140;16;0;2;31
1588868089856;1588868089139;17;0;7;20
1588868090219;1588868089881;5;0;5;26
1588868090475;1588868089881;4;0;6;25
1588868090571;1588868089881;17;0;2;32
1588868090629;1588868089882;18;0;7;21
1588868091027;1588868090644;5;0;5;27
1588868091251;1588868090644;3;0;6;26
1588868091332;1588868090644;16;0;2;33
1588868091385;1588868090643;18;0;7;22
1588868091769;1588868091400;5;0;5;28
1588868091989;1588868091401;4;0;6;27
1588868092077;1588868091401;17;0;2;34
1588868092131;1588868091401;18;0;7;23
1588868092462;1588868092111;5;0;5;29
1588868092691;1588868092111;4;0;6;28
1588868092765;1588868092111;17;0;2;35
1588868092828;1588868092798;17;0;7;25
1588868093206;1588868092799;5;0;5;30
1588868093441;1588868092799;4;0;6;29
1588868093538;1588868092799;17;0;2;36
1588868093600;1588868093570;17;0;7;26
1588868093957;1588868093570;4;0;5;31
1588868094207;1588868093569;4;0;6;30
1588868094282;1588868093569;17;0;2;37
1588868094332;1588868077559;18;0;7;4
1588868094725;1588868094304;5;0;5;32
1588868094956;1588868094304;4;0;6;31
1588868095052;1588868094304;17;0;2;38
1588868095109;1588868095071;17;0;7;28
1588868095450;1588868095070;5;0;5;33
1588868095714;1588868095070;4;0;6;32
1588868095802;1588868095070;16;0;2;39
1588868095855;1588868095816;17;0;7;29
1588868096192;1588868095816;5;0;5;34
1588868096419;1588868095816;4;0;6;33
1588868096500;1588868095816;17;0;2;40
1588868096553;1588868096484;17;0;7;30
1588868096900;1588868096483;5;0;5;35
1588868097148;1588868096483;4;0;6;34
1588868097236;1588868097208;16;0;2;42
1588868097292;1588868097208;17;0;7;31
1588868097651;1588868097208;5;0;5;36
1588868097876;1588868097209;4;0;6;35
1588868097962;1588868097932;16;0;2;43
1588868098022;1588868097931;17;0;7;32
1588868098401;1588868097931;5;0;5;37
1588868098633;1588868097930;4;0;6;36
1588868098758;1588868098674;17;0;7;33
1588868099152;1588868098674;5;0;5;38
1588868099390;1588868098675;4;0;6;37
1588868099469;1588868099422;16;0;2;45
1588868099525;1588868099421;17;0;7;34
1588868099907;1588868099421;4;0;5;39
1588868100144;1588868099421;4;0;6;38
1588868100242;1588868100179;16;0;2;46
1588868100300;1588868100179;17;0;7;35
1588868100656;1588868100180;5;0;5;40
1588868100898;1588868100181;3;0;6;39
1588868100976;1588868100918;16;0;2;47
1588868101397;1588868100917;5;0;5;41
1588868101634;1588868100917;3;0;6;40
1588868101739;1588868101658;16;0;2;48
1588868101800;1588868101658;16;0;7;37
1588868102139;1588868101659;4;0;5;42
1588868102378;1588868101659;3;0;6;41
1588868102464;1588868102401;16;0;2;49
1588868102519;1588868102400;15;0;7;38
1588868102906;1588868102400;5;0;5;43
1588868103096;1588868102400;2;0;6;42
1588868103186;1588868103107;16;0;2;50
1588868103235;1588868103107;16;0;7;39
1588868103614;1588868103109;4;0;5;44
1588868103844;1588868103110;3;0;6;43
1588868103951;1588868103824;15;0;2;51
1588868103989;1588868103824;16;0;7;40
1588868104345;1588868103822;5;0;5;45
1588868104570;1588868079020;4;0;6;10
1588868104680;1588868104542;15;0;2;52
1588868104729;1588868104542;16;0;7;41
1588868105071;1588868104543;5;0;5;46
1588868105324;1588868105290;3;0;6;45
1588868105428;1588868105290;16;0;2;53
1588868105488;1588868105290;15;0;7;42
