rec;send;queue;id_1;id_2;my_id
1587116947650;1587116947370;19;0;2;1
1587116947704;1587116947370;19;0;2;1
1587116948173;1587116947837;19;0;2;2
1587116948233;1587116947837;19;0;2;2
1587116948279;1587116947838;18;0;3;1
1587116948698;1587116948379;18;0;3;2
1587116948716;1587116947837;19;0;2;2
1587116948742;1587116948380;19;0;4;1
1587116948763;1587116948380;17;0;2;3
1587116948801;1587116947838;18;0;3;1
1587116949235;1587116948914;19;0;3;3
1587116949254;1587116948913;19;0;2;4
1587116949275;1587116948913;19;0;4;2
1587116949684;1587116949400;19;0;3;4
1587116949713;1587116949401;19;0;2;5
1587116949734;1587116949402;18;0;4;3
1587116950128;1587116949855;18;0;3;5
1587116950157;1587116949855;19;0;2;6
1587116950186;1587116949854;19;0;4;4
1587116950578;1587116950276;19;0;3;6
1587116950604;1587116950276;19;0;2;7
1587116950633;1587116950277;19;0;4;5
1587116951050;1587116950753;18;0;3;7
1587116951096;1587116950752;19;0;4;6
1587116951126;1587116950753;19;0;2;8
1587116951154;1587116950753;18;0;3;7
1587116951525;1587116951252;19;0;3;8
1587116951545;1587116951252;19;0;5;1
1587116951569;1587116951253;18;0;4;7
1587116951599;1587116951253;19;0;2;9
1587116952035;1587116951706;18;0;3;9
1587116952061;1587116951707;18;0;5;2
1587116952085;1587116951704;19;0;4;8
1587116952104;1587116951706;19;0;2;10
1587116952487;1587116952190;19;0;3;10
1587116952509;1587116952191;18;0;2;11
1587116952533;1587116952191;19;0;4;9
1587116952560;1587116952190;18;0;5;3
1587116952946;1587116952643;19;0;3;11
1587116952967;1587116952644;18;0;5;4
1587116952987;1587116952643;19;0;4;10
1587116953015;1587116952643;19;0;2;12
1587116953401;1587116953097;19;0;3;12
1587116953436;1587116953097;19;0;2;13
1587116953457;1587116953098;19;0;4;11
1587116953483;1587116953097;18;0;5;5
1587116953804;1587116953559;19;0;3;13
1587116953820;1587116953559;19;0;5;6
1587116953865;1587116953558;19;0;4;12
1587116953901;1587116953558;19;0;2;14
1587116954145;1587116953972;19;0;3;14
1587116954165;1587116953972;18;0;5;7
1587116954185;1587116953973;19;0;4;13
1587116954224;1587116953972;19;0;2;15
1587116954584;1587116954279;19;0;2;16
1587116954596;1587116954279;18;0;4;14
1587116954608;1587116954280;17;0;5;8
1587116954622;1587116954279;19;0;3;15
1587116955014;1587116954646;19;0;5;9
1587116955034;1587116954647;19;0;4;15
1587116955051;1587116954646;19;0;2;17
1587116955071;1587116954279;19;0;3;15
1587116955487;1587116955180;18;0;3;17
1587116955504;1587116955180;18;0;5;10
1587116955518;1587116955179;19;0;4;16
1587116955544;1587116955180;19;0;2;18
1587116955564;1587116954646;18;0;3;16
1587116955924;1587116955598;18;0;3;18
1587116955940;1587116955599;19;0;2;19
1587116955966;1587116955599;19;0;4;17
1587116955995;1587116955598;18;0;5;11
1587116956021;1587116955598;18;0;3;18
1587116956428;1587116956065;19;0;3;19
1587116956448;1587116956065;19;0;5;12
1587116956468;1587116956064;19;0;4;18
1587116956489;1587116956064;19;0;2;20
1587116956907;1587116956532;18;0;5;13
1587116956936;1587116956533;18;0;4;19
1587116956955;1587116956532;18;0;2;21
1587116956981;1587116956532;19;0;3;20
1587116957405;1587116956532;19;0;3;20
1587116957425;1587116957019;19;0;2;22
1587116957453;1587116957019;18;0;4;20
1587116957474;1587116957019;16;0;5;14
1587116957500;1587116957020;18;0;3;21
1587116957912;1587116957532;19;0;3;22
1587116957937;1587116957532;18;0;5;15
1587116957965;1587116957532;18;0;4;21
1587116957983;1587116957532;18;0;2;23
1587116958009;1587116957532;19;0;3;22
1587116958395;1587116958036;19;0;3;23
1587116958412;1587116958036;19;0;2;24
1587116958432;1587116958036;19;0;4;22
1587116958454;1587116958036;18;0;5;16
1587116958862;1587116958485;19;0;3;24
1587116958887;1587116958485;19;0;5;17
1587116958918;1587116958486;19;0;4;23
1587116958948;1587116958485;19;0;2;25
1587116959296;1587116958985;19;0;3;25
1587116959318;1587116958985;19;0;2;26
1587116959343;1587116958985;18;0;4;24
1587116959372;1587116958985;17;0;5;18
1587116959760;1587116959420;19;0;5;19
1587116959785;1587116959421;19;0;4;25
1587116959803;1587116959421;19;0;2;27
1587116959833;1587116959421;19;0;3;26
1587116960191;1587116959854;19;0;3;27
1587116960220;1587116959854;18;0;5;20
1587116960252;1587116959853;19;0;4;26
1587116960281;1587116959854;19;0;2;28
1587116960622;1587116960309;19;0;3;28
1587116960637;1587116960309;19;0;5;21
1587116960658;1587116960310;19;0;4;27
1587116960686;1587116960310;19;0;2;29
1587116961104;1587116960706;18;0;3;29
1587116961125;1587116960707;19;0;5;22
1587116961144;1587116960705;19;0;4;28
1587116961167;1587116960706;19;0;2;30
1587116961206;1587116961184;19;0;5;23
1587116961627;1587116961185;19;0;3;30
1587116961647;1587116961185;18;0;2;31
1587116961668;1587116961185;18;0;4;29
1587116961710;1587116961688;19;0;4;30
1587116961734;1587116961688;19;0;5;24
1587116962106;1587116961689;19;0;3;31
1587116962188;1587116961689;18;0;2;32
1587116962250;1587116962220;19;0;4;31
1587116962271;1587116962226;18;0;5;25
1587116962524;1587116961689;19;0;3;31
1587116962556;1587116962222;18;0;2;33
1587116962590;1587116962575;18;0;5;26
1587116962613;1587116962575;17;0;3;33
1587116962637;1587116962575;18;0;4;32
1587116963063;1587116962575;17;0;3;33
1587116963090;1587116962575;19;0;2;34
1587116963119;1587116963102;17;0;5;27
1587116963148;1587116963102;17;0;3;34
1587116963169;1587116963101;18;0;4;33
1587116963610;1587116963102;19;0;2;35
1587116963643;1587116963614;18;0;4;34
1587116963664;1587116963615;19;0;5;28
1587116963688;1587116963613;18;0;2;36
1587116963717;1587116963614;17;0;3;35
1587116964135;1587116964123;18;0;5;29
1587116964158;1587116964123;19;0;4;35
1587116964175;1587116964123;19;0;2;37
1587116964195;1587116964123;17;0;3;36
1587116964644;1587116964628;17;0;3;37
1587116964665;1587116964627;19;0;5;30
1587116964686;1587116964628;19;0;4;36
1587116964713;1587116964628;19;0;2;38
1587116965151;1587116965100;18;0;3;38
1587116965164;1587116965100;19;0;5;31
1587116965184;1587116965099;19;0;4;37
1587116965203;1587116965099;19;0;2;39
1587116965224;1587116962219;17;0;3;32
1587116965663;1587116965630;19;0;3;39
1587116965684;1587116965630;19;0;5;32
1587116965705;1587116965631;19;0;4;38
1587116965725;1587116965631;19;0;2;40
1587116966171;1587116966131;19;0;3;40
1587116966190;1587116966131;19;0;5;33
1587116966209;1587116966130;19;0;4;39
1587116966228;1587116966131;19;0;2;41
1587116966655;1587116966611;19;0;3;41
1587116966690;1587116966612;19;0;4;40
1587116966713;1587116966610;18;0;5;34
1587116966730;1587116966611;19;0;2;42
1587116966752;1587116966611;19;0;3;41
1587116967178;1587116967127;19;0;3;42
1587116967202;1587116967127;19;0;5;35
1587116967225;1587116967126;19;0;4;41
1587116967247;1587116967127;19;0;2;43
1587116967672;1587116967609;19;0;3;43
1587116967693;1587116967609;19;0;5;36
1587116967716;1587116967610;19;0;4;42
1587116967736;1587116967609;19;0;2;44
1587116968143;1587116968070;19;0;3;44
1587116968161;1587116968070;19;0;5;37
1587116968184;1587116968069;19;0;4;43
1587116968207;1587116968070;19;0;2;45
1587116968601;1587116968533;19;0;3;45
1587116968621;1587116968533;19;0;5;38
1587116968653;1587116968534;19;0;4;44
1587116968676;1587116968534;19;0;2;46
1587116969028;1587116968953;19;0;3;46
1587116969062;1587116968953;19;0;5;39
1587116969083;1587116968952;19;0;4;45
1587116969106;1587116968952;19;0;2;47
1587116969502;1587116969423;19;0;3;47
1587116969530;1587116969423;19;0;5;40
1587116969558;1587116969424;19;0;4;46
1587116969583;1587116969424;19;0;2;48
1587116969612;1587116969423;19;0;3;47
1587116969985;1587116969891;19;0;5;41
1587116970012;1587116969890;19;0;4;47
1587116970039;1587116969890;19;0;2;49
1587116970067;1587116969891;19;0;3;48
1587116970413;1587116970346;19;0;3;49
1587116970436;1587116970345;19;0;5;42
1587116970462;1587116970346;19;0;4;48
1587116970487;1587116970346;19;0;2;50
1587116970880;1587116970827;19;0;3;50
1587116970903;1587116970827;19;0;5;43
1587116970942;1587116970827;19;0;4;49
1587116970962;1587116970827;19;0;2;51
1587116971265;1587116971191;19;0;3;51
1587116971284;1587116971191;19;0;5;44
1587116971313;1587116971191;19;0;4;50
1587116971333;1587116971191;19;0;2;52
1587116971786;1587116971677;19;0;5;45
1587116971816;1587116971677;19;0;4;51
1587116971836;1587116971676;19;0;2;53
1587116972261;1587116971678;19;0;3;52
1587116972278;1587116972145;19;0;5;46
1587116972295;1587116972145;19;0;4;52
1587116972319;1587116972146;19;0;2;54
1587116972349;1587116971678;19;0;3;52
1587116972746;1587116971678;19;0;3;52
1587116972773;1587116972631;19;0;5;47
1587116972795;1587116972630;19;0;4;53
1587116972826;1587116972632;19;0;2;55
1587116972852;1587116972146;18;0;3;53
1587116973119;1587116973039;19;0;5;48
1587116973157;1587116973039;19;0;4;54
1587116973186;1587116973039;19;0;2;56
1587116973213;1587116973039;18;0;3;55
1587116973589;1587116973468;19;0;5;49
1587116973606;1587116973468;19;0;4;55
1587116973624;1587116973469;19;0;2;57
1587116974027;1587116973469;18;0;3;56
1587116974044;1587116973901;19;0;5;50
1587116974066;1587116973901;19;0;4;56
1587116974092;1587116973901;19;0;2;58
1587116974117;1587116972631;17;0;3;54
1587116974464;1587116974379;18;0;3;58
1587116974488;1587116974379;19;0;5;51
1587116974514;1587116974378;19;0;4;57
1587116974542;1587116974378;18;0;2;59
1587116974569;1587116973901;16;0;3;57
1587116974954;1587116974864;19;0;3;59
1587116974989;1587116974864;19;0;5;52
1587116975013;1587116974865;19;0;4;58
1587116975040;1587116974865;18;0;2;60
1587116975437;1587116975310;19;0;3;60
1587116975457;1587116975311;19;0;5;53
1587116975478;1587116975310;19;0;4;59
1587116975501;1587116975310;19;0;2;61
1587116975533;1587116975310;19;0;3;60
1587116975934;1587116975310;19;0;3;60
1587116975953;1587116975809;19;0;5;54
1587116975981;1587116975809;19;0;4;60
1587116976005;1587116975809;18;0;2;62
1587116976033;1587116975808;18;0;3;61
1587116976446;1587116976304;18;0;3;62
1587116976461;1587116976303;19;0;5;55
1587116976489;1587116976302;19;0;4;61
1587116976509;1587116976303;18;0;2;63
1587116976538;1587116976304;18;0;3;62
1587116976939;1587116976790;19;0;2;64
1587116976956;1587116976791;18;0;4;62
1587116976979;1587116976790;18;0;5;56
1587116977367;1587116976790;18;0;3;63
1587116977398;1587116977224;19;0;2;65
1587116977421;1587116977224;19;0;4;63
1587116977446;1587116977224;18;0;5;57
1587116977473;1587116975808;18;0;3;61
1587116977877;1587116977728;18;0;3;65
1587116977903;1587116977729;19;0;2;66
1587116977932;1587116977729;19;0;4;64
1587116977958;1587116977728;18;0;5;58
1587116977984;1587116977728;18;0;3;65
1587116978345;1587116977728;18;0;3;65
1587116978373;1587116978197;19;0;2;67
1587116978412;1587116978197;19;0;4;65
1587116978452;1587116978198;18;0;5;59
1587116978479;1587116978202;17;0;3;66
1587116978862;1587116978692;16;0;3;67
1587116978887;1587116978694;19;0;5;60
1587116978917;1587116978693;19;0;4;66
1587116978946;1587116978692;19;0;2;68
1587116979321;1587116979158;17;0;3;68
1587116979342;1587116979158;19;0;5;61
1587116979374;1587116979157;19;0;4;67
1587116979398;1587116979158;19;0;2;69
1587116979766;1587116979606;17;0;3;69
1587116979784;1587116979607;19;0;5;62
1587116979816;1587116979607;19;0;4;68
1587116979838;1587116979607;19;0;2;70
1587116979863;1587116977224;17;0;3;64
1587116980221;1587116980060;19;0;2;71
1587116980242;1587116980060;19;0;4;69
1587116980267;1587116980060;18;0;5;63
1587116980292;1587116980060;18;0;3;70
1587116980641;1587116980532;17;0;3;71
1587116980671;1587116980533;19;0;5;64
1587116980703;1587116980534;19;0;4;70
1587116980726;1587116980533;19;0;2;72
1587116981417;1587116981261;18;0;3;72
1587116981455;1587116981260;19;0;5;65
1587116981495;1587116981259;19;0;4;71
1587116981518;1587116981260;19;0;2;73
1587116981760;1587116981677;19;0;3;73
1587116981785;1587116981677;19;0;5;66
1587116981820;1587116981678;19;0;4;72
1587116981886;1587116981677;19;0;2;74
1587116982199;1587116982049;18;0;3;74
1587116982234;1587116982049;19;0;5;67
1587116982265;1587116982049;18;0;4;73
1587116982291;1587116982049;19;0;2;75
1587116982536;1587116982450;19;0;3;75
1587116982557;1587116982450;19;0;5;68
1587116982580;1587116982450;19;0;4;74
1587116982613;1587116982450;19;0;2;76
1587116982865;1587116982758;19;0;3;76
1587116982893;1587116982758;19;0;5;69
1587116982926;1587116982758;17;0;4;75
1587116982952;1587116982758;19;0;2;77
1587116983321;1587116983151;19;0;3;77
1587116983358;1587116983151;19;0;5;70
1587116983389;1587116983152;18;0;4;76
1587116983421;1587116983152;18;0;2;78
1587116983447;1587116983151;19;0;3;77
1587116983796;1587116983655;19;0;5;71
1587116983830;1587116983655;19;0;4;77
1587116983855;1587116983655;19;0;2;79
1587116983884;1587116983655;19;0;3;78
1587116984240;1587116984080;19;0;5;72
1587116984267;1587116984081;19;0;4;78
1587116984297;1587116984080;19;0;2;80
1587116984334;1587116983655;19;0;3;78
1587116984734;1587116984520;19;0;5;73
1587116984757;1587116984519;19;0;4;79
1587116984781;1587116984520;19;0;2;81
1587116984811;1587116984521;18;0;3;80
1587116985220;1587116984521;18;0;3;80
1587116985265;1587116985025;19;0;2;82
1587116985289;1587116985025;19;0;4;80
1587116985315;1587116985025;18;0;5;74
1587116985343;1587116984080;18;0;3;79
1587116985733;1587116985518;19;0;5;75
1587116985768;1587116985518;19;0;4;81
1587116985845;1587116985519;16;0;3;82
1587116985900;1587116985518;19;0;2;83
1587116986172;1587116986047;16;0;3;83
1587116986189;1587116986047;19;0;5;76
1587116986221;1587116986048;19;0;4;82
1587116986270;1587116986047;19;0;2;84
1587116986547;1587116986418;15;0;3;84
1587116986566;1587116986417;19;0;5;77
1587116986587;1587116986418;18;0;4;83
1587116986611;1587116986417;19;0;2;85
1587116986891;1587116986722;16;0;3;85
1587116986920;1587116986722;18;0;2;86
1587116986945;1587116986722;18;0;4;84
1587116986975;1587116986722;18;0;5;78
1587116987334;1587116987152;19;0;5;79
1587116987355;1587116987152;19;0;4;85
1587116987382;1587116987152;19;0;2;87
1587116987705;1587116987530;15;0;3;87
1587116987729;1587116987531;19;0;5;80
1587116987750;1587116987531;18;0;4;86
1587116987773;1587116987531;19;0;2;88
1587116987799;1587116987152;15;0;3;86
1587116988171;1587116987934;19;0;5;81
1587116988198;1587116987934;19;0;4;87
1587116988229;1587116987934;19;0;2;89
1587116988616;1587116987934;16;0;3;88
1587116988639;1587116988397;19;0;5;82
1587116988671;1587116988398;19;0;4;88
1587116988695;1587116988397;19;0;2;90
1587116989104;1587116988887;19;0;5;83
1587116989134;1587116988886;19;0;4;89
1587116989160;1587116988887;19;0;2;91
1587116989190;1587116988887;14;0;3;90
1587116989581;1587116989375;14;0;3;91
1587116989611;1587116989375;19;0;5;84
1587116989640;1587116989376;19;0;4;90
1587116989664;1587116989376;18;0;2;92
1587116989696;1587116988887;14;0;3;90
1587116990052;1587116989841;14;0;3;92
1587116990072;1587116989841;17;0;5;85
1587116990093;1587116989840;19;0;4;91
1587116990120;1587116989841;19;0;2;93
1587116990152;1587116988887;14;0;3;90
1587116990510;1587116990281;18;0;2;94
1587116990545;1587116990281;19;0;4;92
1587116990566;1587116990281;18;0;5;86
1587116990597;1587116990281;15;0;3;93
1587116990962;1587116990733;15;0;3;94
1587116990987;1587116990732;19;0;5;87
1587116991023;1587116990732;18;0;4;93
1587116991066;1587116990732;18;0;2;95
1587116991474;1587116991224;16;0;3;95
1587116991491;1587116991226;19;0;5;88
1587116991518;1587116991225;19;0;4;94
1587116991537;1587116991225;19;0;2;96
1587116991841;1587116991699;16;0;3;96
1587116991864;1587116991699;19;0;5;89
1587116991889;1587116991699;19;0;4;95
1587116991915;1587116991699;18;0;2;97
1587116992273;1587116992027;16;0;3;97
1587116992299;1587116992028;19;0;5;90
1587116992324;1587116992028;18;0;4;96
1587116992346;1587116992028;19;0;2;98
1587116992378;1587116992027;16;0;3;97
1587116992776;1587116992516;19;0;5;91
1587116992799;1587116992515;19;0;4;97
1587116992823;1587116992516;19;0;2;99
1587116992847;1587116992516;16;0;3;98
1587116993279;1587116992975;16;0;3;99
1587116993302;1587116992976;19;0;5;92
1587116993328;1587116992976;19;0;4;98
1587116993353;1587116992976;19;0;2;100
1587116993391;1587116985024;16;0;3;81
1587116993736;1587116993493;17;0;3;100
1587116993762;1587116993492;19;0;5;93
1587116993790;1587116993492;19;0;4;99
1587116993816;1587116993492;18;0;2;101
1587116994192;1587116993967;18;0;3;101
1587116994222;1587116993967;19;0;5;94
1587116994250;1587116993967;19;0;4;100
1587116994281;1587116993967;17;0;2;102
1587116994657;1587116994431;18;0;3;102
1587116994681;1587116994431;17;0;5;95
1587116994712;1587116994430;19;0;4;101
1587116994739;1587116994430;18;0;2;103
1587116995133;1587116994863;17;0;3;103
1587116995154;1587116994863;19;0;2;104
1587116995187;1587116994864;19;0;4;102
1587116995216;1587116994863;18;0;5;96
1587116995251;1587116988396;14;0;3;89
1587116995529;1587116995346;19;0;3;104
1587116995543;1587116995345;19;0;5;97
1587116995561;1587116995345;19;0;4;103
1587116995594;1587116995345;19;0;2;105
1587116995963;1587116995657;18;0;3;105
1587116995987;1587116995657;19;0;5;98
1587116996019;1587116995657;19;0;4;104
1587116996044;1587116995657;19;0;2;106
1587116996076;1587116995657;18;0;3;105
1587116996430;1587116996150;19;0;3;106
1587116996454;1587116996150;19;0;5;99
1587116996481;1587116996149;19;0;4;105
1587116996510;1587116996149;19;0;2;107
1587116996901;1587116996623;19;0;3;107
1587116996920;1587116996623;19;0;5;100
1587116996948;1587116996623;19;0;4;106
1587116996982;1587116996623;19;0;2;108
1587116997358;1587116997091;19;0;3;108
1587116997385;1587116997091;19;0;5;101
1587116997418;1587116997090;19;0;4;107
1587116997446;1587116997090;19;0;2;109
1587116997803;1587116997545;19;0;3;109
1587116997826;1587116997545;19;0;5;102
1587116997851;1587116997546;19;0;4;108
1587116997873;1587116997546;18;0;2;110
1587116998219;1587116997976;19;0;3;110
1587116998260;1587116997975;19;0;2;111
1587116998287;1587116997975;18;0;4;109
1587116998313;1587116997976;18;0;5;103
1587116998683;1587116998423;19;0;3;111
1587116998720;1587116998423;19;0;3;111
1587116998741;1587116998423;19;0;5;104
1587116998768;1587116998424;19;0;4;110
1587116998793;1587116998423;19;0;2;112
1587116999184;1587116998889;19;0;3;112
1587116999227;1587116998889;18;0;2;113
1587116999251;1587116998888;18;0;4;111
1587116999279;1587116998890;18;0;5;105
1587116999655;1587116999365;19;0;3;113
1587116999703;1587116999365;19;0;5;106
1587116999720;1587116999367;19;0;4;112
1587116999762;1587116999366;17;0;2;114
1587117000135;1587116999839;19;0;3;114
1587117000181;1587116999838;19;0;5;107
1587117000210;1587116999838;18;0;4;113
1587117000246;1587116999839;18;0;2;115
1587117000635;1587117000319;19;0;3;115
1587117000652;1587117000320;19;0;5;108
1587117000679;1587117000320;18;0;4;114
1587117000709;1587117000320;19;0;2;116
1587117001049;1587117000767;19;0;3;116
1587117001099;1587117000768;19;0;5;109
1587117001131;1587117000767;18;0;4;115
1587117001158;1587117000767;19;0;2;117
1587117001519;1587117001229;19;0;3;117
1587117001577;1587117001229;19;0;5;110
1587117001612;1587117001230;19;0;4;116
1587117001634;1587117001229;18;0;2;118
1587117002043;1587117001700;19;0;3;118
1587117002064;1587117001701;19;0;5;111
1587117002091;1587117001699;19;0;4;117
1587117002124;1587117001700;19;0;2;119
1587117002491;1587117002182;19;0;3;119
1587117002549;1587117002181;19;0;5;112
1587117002582;1587117002183;19;0;4;118
1587117002614;1587117002182;18;0;2;120
1587117002925;1587117002656;19;0;3;120
1587117002968;1587117002656;19;0;5;113
1587117002991;1587117002656;18;0;4;119
1587117003015;1587117002656;19;0;2;121
1587117003378;1587117003080;19;0;3;121
1587117003403;1587117003079;19;0;5;114
1587117003437;1587117003080;19;0;4;120
1587117003454;1587117003080;18;0;2;122
1587117003788;1587117003505;19;0;3;122
1587117003824;1587117003504;19;0;2;123
1587117003847;1587117003504;19;0;4;121
1587117003871;1587117003505;18;0;5;115
1587117004269;1587117003925;19;0;3;123
1587117004311;1587117003925;19;0;5;116
1587117004333;1587117003926;19;0;4;122
1587117004366;1587117003925;19;0;2;124
1587117004737;1587117004407;19;0;3;124
1587117004780;1587117004406;19;0;5;117
1587117004809;1587117004406;19;0;4;123
1587117004829;1587117004407;19;0;2;125
1587117005168;1587117004861;19;0;3;125
1587117005235;1587117004860;19;0;5;118
1587117005264;1587117004861;19;0;4;124
1587117005289;1587117004861;19;0;2;126
1587117005710;1587117005341;18;0;3;126
1587117005771;1587117005341;19;0;2;127
1587117005793;1587117005341;19;0;4;125
1587117005820;1587117005341;18;0;5;119
1587117006193;1587117005848;18;0;3;127
1587117006225;1587117005847;19;0;5;120
1587117006249;1587117005848;19;0;4;126
1587117006274;1587117005848;19;0;2;128
1587117006610;1587117006306;19;0;3;128
1587117006633;1587117006306;19;0;5;121
1587117006656;1587117006305;19;0;4;127
1587117006678;1587117006305;19;0;2;129
1587117006704;1587117006306;19;0;3;128
1587117007074;1587117006723;18;0;3;129
1587117007106;1587117006723;19;0;5;122
1587117007122;1587117006724;19;0;4;128
1587117007140;1587117006724;19;0;2;130
1587117007446;1587117007182;19;0;3;130
1587117007495;1587117007182;19;0;5;123
1587117007520;1587117007180;19;0;4;129
1587117007541;1587117007181;19;0;2;131
1587117007571;1587117007556;19;0;5;124
1587117007881;1587117007557;19;0;3;131
1587117007917;1587117007557;18;0;2;132
1587117007940;1587117007557;19;0;4;130
1587117007979;1587117007958;19;0;4;131
1587117008003;1587117007959;19;0;5;125
1587117008382;1587117007959;18;0;3;132
1587117008570;1587117007959;19;0;2;133
1587117008601;1587117008579;19;0;3;133
1587117008627;1587117008580;19;0;4;132
1587117008657;1587117008580;19;0;5;126
1587117009028;1587117008579;19;0;3;133
1587117009056;1587117008580;19;0;2;134
1587117009096;1587117009076;19;0;5;127
1587117009118;1587117009076;19;0;3;134
1587117009146;1587117009077;19;0;4;133
1587117009549;1587117009076;19;0;2;135
1587117009592;1587117009569;19;0;5;128
1587117009633;1587117009568;19;0;4;134
1587117009980;1587117009568;19;0;3;135
1587117010028;1587117009569;19;0;2;136
1587117010064;1587117010037;19;0;4;135
1587117010090;1587117010038;18;0;5;129
1587117010113;1587117010036;19;0;2;137
1587117010148;1587117009568;19;0;3;135
1587117010511;1587117009568;19;0;3;135
1587117010537;1587117010520;19;0;5;130
1587117010575;1587117010519;19;0;4;136
1587117010600;1587117010520;19;0;2;138
1587117010635;1587117010520;18;0;3;137
1587117011026;1587117010520;18;0;3;137
1587117011075;1587117011044;19;0;5;131
1587117011099;1587117011043;19;0;4;137
1587117011120;1587117011042;19;0;2;139
1587117011144;1587117011044;18;0;3;138
1587117011488;1587117010037;17;0;3;136
1587117011541;1587117011503;19;0;3;139
1587117011560;1587117011503;19;0;5;132
1587117011583;1587117011504;19;0;4;138
1587117011609;1587117011505;19;0;2;140
1587117011632;1587117011503;19;0;3;139
1587117012074;1587117012025;19;0;3;140
1587117012103;1587117012027;19;0;5;133
1587117012124;1587117012026;19;0;4;139
1587117012151;1587117012026;19;0;2;141
1587117012555;1587117012521;19;0;3;141
1587117012571;1587117012522;19;0;5;134
1587117012594;1587117012520;19;0;4;140
1587117012618;1587117012521;19;0;2;142
1587117013063;1587117013011;19;0;3;142
1587117013085;1587117013011;19;0;5;135
1587117013109;1587117013012;19;0;4;141
1587117013131;1587117013012;19;0;2;143
1587117013157;1587117013011;19;0;3;142
1587117013522;1587117013501;19;0;3;143
1587117013587;1587117013501;19;0;5;136
1587117013609;1587117013501;19;0;4;142
1587117013636;1587117013501;19;0;2;144
1587117014017;1587117013984;19;0;3;144
1587117014075;1587117013984;19;0;3;144
1587117014096;1587117013983;19;0;5;137
1587117014114;1587117013985;19;0;4;143
1587117014134;1587117013985;19;0;2;145
1587117014518;1587117014495;19;0;3;145
1587117014559;1587117014495;19;0;3;145
1587117014585;1587117014495;19;0;5;138
1587117014614;1587117014495;19;0;4;144
1587117014642;1587117014495;19;0;2;146
1587117015007;1587117014976;19;0;3;146
1587117015066;1587117014975;19;0;5;139
1587117015098;1587117014977;19;0;4;145
1587117015127;1587117014976;19;0;2;147
1587117015526;1587117015451;19;0;3;147
1587117015556;1587117015451;19;0;5;140
1587117015584;1587117015450;19;0;4;146
1587117015608;1587117015450;19;0;2;148
1587117015939;1587117015904;19;0;3;148
1587117015987;1587117015903;19;0;5;141
1587117016010;1587117015904;19;0;4;147
1587117016042;1587117015904;19;0;2;149
1587117016401;1587117016354;19;0;3;149
1587117016466;1587117016355;19;0;5;142
1587117016500;1587117016352;19;0;4;148
1587117016526;1587117016353;19;0;2;150
1587117016860;1587117016816;19;0;3;150
1587117016895;1587117016816;19;0;3;150
1587117016919;1587117016816;19;0;5;143
1587117016957;1587117016817;19;0;4;149
1587117016995;1587117016817;19;0;2;151
1587117017314;1587117017263;19;0;3;151
1587117017352;1587117017264;19;0;5;144
1587117017378;1587117017263;19;0;4;150
1587117017406;1587117017263;19;0;2;152
1587117017745;1587117017715;19;0;3;152
1587117017781;1587117017715;19;0;5;145
1587117017809;1587117017715;19;0;4;151
1587117017847;1587117017715;19;0;2;153
1587117018235;1587117018182;18;0;3;153
1587117018292;1587117018181;19;0;5;146
1587117018314;1587117018181;19;0;4;152
1587117018337;1587117018180;19;0;2;154
1587117018709;1587117018639;18;0;3;154
1587117018750;1587117018639;19;0;5;147
1587117018770;1587117018639;19;0;4;153
1587117018794;1587117018640;19;0;2;155
1587117019190;1587117019112;19;0;3;155
1587117019240;1587117019112;19;0;5;148
1587117019264;1587117019112;19;0;4;154
1587117019285;1587117019113;19;0;2;156
1587117019657;1587117019566;19;0;3;156
1587117019710;1587117019565;19;0;5;149
1587117019739;1587117019566;19;0;4;155
1587117019770;1587117019565;19;0;2;157
