rec;send;queue;id_1;id_2;packet_id
1587281686066;1587281686007;19;0;2;101
1587281686917;1587281686801;18;0;2;102
1587281687432;1587281687414;19;0;2;103
1587281688152;1587281688098;19;0;2;104
1587281688686;1587281688650;19;0;2;105
1587281689273;1587281689222;19;0;2;106
1587281690095;1587281690029;19;0;2;107
1587281690884;1587281690789;18;0;2;108
1587281691318;1587281691260;19;0;2;109
1587281691960;1587281691928;19;0;2;110
1587281692751;1587281692645;19;0;2;111
1587281693327;1587281693271;19;0;2;112
1587281693923;1587281693866;19;0;2;113
1587281694415;1587281694342;19;0;2;114
1587281694912;1587281694830;19;0;2;115
1587281695567;1587281695463;19;0;2;116
1587281696138;1587281696034;19;0;2;117
1587281696853;1587281696782;19;0;2;118
1587281697374;1587281697209;19;0;2;119
1587281697833;1587281697746;18;0;2;120
1587281698463;1587281698285;19;0;2;121
1587281699280;1587281699043;18;0;2;122
1587281699842;1587281699712;19;0;2;123
1587281700378;1587281700280;19;0;2;124
1587281701089;1587281700979;19;0;2;125
1587281701677;1587281701459;19;0;2;126
1587281702220;1587281702094;19;0;2;127
1587281702940;1587281702667;18;0;2;128
1587281703737;1587281703434;18;0;2;129
1587281704138;1587281704008;19;0;2;130
1587281704807;1587281704588;19;0;2;131
1587281705671;1587281705379;19;0;2;132
1587281706386;1587281706172;19;0;2;133
1587281707228;1587281706958;19;0;2;134
1587281707973;1587281707685;19;0;2;135
1587281708774;1587281708449;19;0;2;136
1587281709571;1587281709264;19;0;2;137
1587281710430;1587281710069;19;0;2;138
1587281711237;1587281710906;19;0;2;139
1587281712038;1587281711690;19;0;2;140
1587281712837;1587281712458;18;0;2;141
1587281713627;1587281713281;19;0;2;142
1587281714441;1587281714078;18;0;2;143
1587281715344;1587281714883;18;0;2;144
1587281716079;1587281715729;19;0;2;145
1587281716859;1587281716458;19;0;2;146
1587281717634;1587281717262;19;0;2;147
1587281718290;1587281717982;19;0;2;148
1587281718328;1587281717981;19;0;3;1
1587281719037;1587281718636;19;0;2;149
1587281719117;1587281718636;19;0;3;2
1587281719826;1587281719380;19;0;2;150
1587281719902;1587281719378;19;0;3;3
1587281720029;1587281719381;19;0;4;1
1587281720543;1587281720229;19;0;2;151
1587281720642;1587281720230;19;0;3;4
1587281720726;1587281720228;19;0;4;2
1587281721387;1587281720950;19;0;2;152
1587281721447;1587281720950;19;0;3;5
1587281721581;1587281720951;19;0;4;3
1587281722272;1587281721759;19;0;2;153
1587281722351;1587281721759;19;0;3;6
1587281722483;1587281721758;19;0;4;4
1587281723062;1587281722677;19;0;5;1
1587281723208;1587281722676;18;0;2;154
1587281723312;1587281722678;19;0;4;5
1587281723881;1587281723443;19;0;5;2
1587281723957;1587281723443;19;0;3;8
1587281724048;1587281723444;17;0;2;155
1587281724160;1587281723442;19;0;4;6
1587281724770;1587281724323;19;0;5;3
1587281724832;1587281724324;19;0;3;9
1587281724904;1587281724323;17;0;2;156
1587281725020;1587281724324;19;0;4;7
1587281725244;1587281725191;19;0;6;1
1587281725690;1587281725192;18;0;5;4
1587281725754;1587281725192;18;0;2;157
