rec;send;queue;id_1;id_2;packet_id
1587141981410;1587141981248;19;0;2;1
1587141982195;1587141982081;19;0;2;2
1587141983087;1587141982921;19;0;3;1
1587141983133;1587141982922;19;0;2;3
1587141983207;1587141982922;19;0;2;3
1587141983998;1587141983890;18;0;4;1
1587141984039;1587141983892;19;0;3;2
1587141984086;1587141983890;19;0;2;4
1587141984957;1587141984857;19;0;4;2
1587141984983;1587141984857;19;0;3;3
1587141985018;1587141984858;19;0;5;1
1587141985084;1587141984857;19;0;2;5
1587141985840;1587141985685;19;0;6;1
1587141985870;1587141985685;19;0;4;3
1587141985910;1587141985686;19;0;3;4
1587141985942;1587141985685;19;0;5;2
1587141986037;1587141984857;19;0;2;5
1587141986081;1587141984857;19;0;2;5
1587141986854;1587141986744;19;0;5;3
1587141986898;1587141986746;19;0;6;2
1587141986939;1587141986746;18;0;4;4
1587141986974;1587141986745;19;0;3;5
1587141987068;1587141986746;18;0;2;7
1587141987793;1587141987676;19;0;5;4
1587141987836;1587141987675;19;0;6;3
1587141987867;1587141987676;18;0;4;5
1587141987899;1587141987676;19;0;3;6
1587141988707;1587141988558;19;0;5;5
1587141988740;1587141988559;19;0;6;4
1587141988789;1587141988559;19;0;4;6
1587141988834;1587141988558;19;0;3;7
1587141988872;1587141988558;19;0;7;1
1587141988967;1587141988559;17;0;2;9
1587141989726;1587141989589;19;0;5;6
1587141989773;1587141989588;19;0;6;5
1587141989819;1587141989585;19;0;4;7
1587141989867;1587141989588;19;0;3;8
1587141989910;1587141989587;19;0;8;1
1587141990007;1587141989586;17;0;2;10
1587141990050;1587141989587;19;0;7;2
1587141990771;1587141990629;19;0;5;7
1587141990815;1587141990629;19;0;6;6
1587141990864;1587141990630;19;0;4;8
1587141990913;1587141990628;19;0;3;9
1587141990959;1587141990628;19;0;8;2
1587141991075;1587141990628;19;0;7;3
1587141991123;1587141990630;17;0;2;11
1587141991162;1587141990629;19;0;9;1
1587141991230;1587141990629;19;0;6;6
1587141991907;1587141991753;19;0;5;8
1587141991977;1587141991753;19;0;6;7
1587141992012;1587141991752;19;0;4;9
1587141992045;1587141991754;19;0;3;10
1587141992084;1587141991753;19;0;8;3
1587141992127;1587141991753;19;0;10;1
1587141992207;1587141991753;19;0;7;4
1587141992245;1587141991752;17;0;2;12
1587141992276;1587141991752;19;0;9;2
1587141993010;1587141992803;19;0;5;9
1587141993064;1587141992802;19;0;6;8
1587141993111;1587141992803;19;0;4;10
1587141993150;1587141992802;19;0;3;11
1587141993178;1587141992802;19;0;8;4
1587141993225;1587141992803;19;0;10;2
1587141993317;1587141992802;19;0;7;5
1587141993365;1587141992803;17;0;2;13
