rec;send;queue;id_1;id_2;packet_id
1587489608414;1587489605244;19;0;2;1
1587489612015;1587489610787;19;0;3;1
1587489613961;1587489610783;19;0;2;2
1587489617643;1587489616298;19;0;3;2
1587489619764;1587489616295;19;0;2;3
1587489623337;1587489622016;19;0;3;3
1587489625501;1587489622016;19;0;2;4
1587489629062;1587489627743;19;0;3;4
1587489631214;1587489627741;19;0;2;5
1587489634797;1587489633323;18;0;3;5
1587489636895;1587489633323;19;0;2;6
1587489640440;1587489638993;19;0;3;6
1587489642571;1587489638993;19;0;2;7
1587489646124;1587489644627;19;0;3;7
1587489646375;1587489644627;19;0;2;8
1587489651800;1587489650279;19;0;3;8
1587489653892;1587489650278;19;0;2;9
1587489657583;1587489655922;19;0;3;9
1587489657723;1587489655921;19;0;2;10
1587489663087;1587489661521;19;0;3;10
1587489663333;1587489661521;18;0;2;11
1587489668829;1587489667151;19;0;3;11
1587489669041;1587489667151;19;0;2;12
1587489674513;1587489672873;19;0;3;12
1587489674774;1587489672872;19;0;2;13
1587489680393;1587489678637;19;0;3;13
1587489680638;1587489678636;18;0;2;14
1587489686303;1587489684466;19;0;3;14
1587489686568;1587489684465;19;0;2;15
1587489692044;1587489690245;18;0;3;15
1587489692284;1587489690244;19;0;2;16
1587489697645;1587489695861;18;0;3;16
1587489697877;1587489695861;19;0;2;17
1587489703441;1587489701605;19;0;3;17
1587489703680;1587489701604;18;0;2;18
1587489707696;1587489707359;19;0;5;1
1587489708897;1587489707361;19;0;4;1
1587489709311;1587489707360;19;0;3;18
1587489709462;1587489707360;18;0;2;19
1587489713430;1587489713032;19;0;5;2
1587489714566;1587489713037;18;0;4;2
1587489714927;1587489713035;19;0;3;19
1587489715167;1587489713035;19;0;2;20
1587489715400;1587489713034;19;0;6;1
1587489718980;1587489718756;19;0;7;1
1587489719245;1587489718753;19;0;5;3
1587489720407;1587489718757;19;0;4;3
1587489720797;1587489718756;18;0;3;20
1587489721214;1587489718755;18;0;8;1
1587489722917;1587489718755;18;0;2;21
1587489723166;1587489718755;18;0;6;2
1587489724925;1587489724684;18;0;7;2
1587489725198;1587489724682;19;0;5;4
1587489726427;1587489724685;19;0;4;4
1587489726587;1587489724684;19;0;9;1
1587489726870;1587489724685;19;0;10;1
1587489727104;1587489724684;19;0;2;22
1587489727318;1587489724683;17;0;8;2
